district,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
Araria,95,61,0,1,14,0,0,0,0,2,0,0,0,14,6,22,0,0
Arwal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aurangabad,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Banka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Begusarai,0,23,0,0,22,0,11,0,0,0,92,0,0,10,9,10,0,0
Bhagalpur,0,12,3,0,25,0,15,0,0,17,41,9,0,20,18,0,9,115
Bhojpur,0,38,0,0,39,0,17,0,0,3,0,0,0,0,14,0,0,0
Buxar,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Darbhanga,37,18,9,26,0,0,35,0,39,0,158,1,11,251,31,74,29,6
East Champaran,32,3,0,0,2,0,0,0,0,0,122,0,0,15,13,1,7,0
Gaya,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gopalganj,20,4,0,2,0,0,5,3,0,0,13,0,0,2,19,42,40,0
Jamui,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Jehanabad,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kaimur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Katihar,40,20,1,0,15,0,2,6,2,23,37,0,0,19,11,5,0,9
Khagaria,10,14,0,10,19,0,10,0,8,5,155,0,0,39,5,47,7,3
Kishanganj,24,10,0,0,5,0,0,0,2,3,0,0,0,4,0,0,0,0
Lakhisarai,0,14,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,5
Madhepura,29,14,0,3,0,0,10,5,0,272,19,0,0,18,3,2,7,0
Madhubani,28,3,0,4,0,0,9,0,8,0,89,0,0,93,3,35,5,2
Munger,0,2,0,0,23,0,0,0,0,0,0,3,2,0,4,0,0,31
Muzaffarpur,21,10,0,4,7,9,42,1,14,13,154,14,9,91,29,41,31,16
Nalanda,0,13,2,62,0,0,4,0,2,2,20,0,0,0,0,7,0,1
Nawada,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Patna,0,78,0,14,7,0,6,0,0,3,5,0,0,0,11,0,2,0
Purnia,44,25,6,0,33,0,1,1,3,1,0,0,0,6,2,6,0,3
Rohtas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saharsa,8,11,0,9,0,4,11,8,10,48,42,0,5,8,6,20,9,7
Samastipur,2,16,0,0,11,0,5,0,0,0,201,0,11,161,23,86,12,14
Saran,13,16,0,0,4,0,2,0,0,0,0,0,0,0,12,15,31,0
Sheikhpura,0,0,0,7,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Sheohar,6,0,0,1,0,0,0,0,0,0,10,0,0,25,24,20,0,8
Sitamarhi,47,0,0,7,0,1,42,0,8,0,59,14,20,102,25,47,12,33
Siwan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0
Supaul,16,20,6,0,4,1,4,4,1,217,1,3,0,7,2,5,0,0
Vaishali,0,21,0,0,17,0,6,0,0,3,47,0,0,0,9,0,3,0
West Champaran,42,0,0,0,0,0,4,4,0,0,22,0,0,0,18,0,23,8
