date,district,censuscode,st_cen_cd,dt_cen_cd,st_nm,bl_cen_cd,block,rainfall,cumulative_rainfall
1 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,,0
2 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,2.0,2
3 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,2.0,4
4 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,6.2,10.2
5 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,30.0,40.2
6 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,6.0,46.2
7 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,6.0,52.2
8 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,2.0,54.2
9 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,54.2
10 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,54.2
11 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,31.4,85.6
12 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,6.0,91.6
13 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,4.6,96.19999999999999
14 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,207.0,303.2
15 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,110.0,413.2
16 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,413.2
17 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,64.0,477.2
18 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,49.0,526.2
19 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
20 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
21 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
22 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
23 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
24 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
25 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
26 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
27 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
28 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
29 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
30 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
31 August 2017,West Champaran,203,10,1,Bihar,1,Bagaha-2,0.0,526.2
1 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,,0
2 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,0
3 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,18.6,18.6
4 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,1.4,20
5 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,6.8,26.8
6 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,14.2,41
7 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,4.6,45.6
8 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,45.6
9 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,45.6
10 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,45.6
11 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,45.6
12 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,18.4,64
13 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,12.0,76
14 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,70.6,146.6
15 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,42.6,189.2
16 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,2.4,191.6
17 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,191.6
18 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,39.2,230.8
19 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,230.8
20 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,230.8
21 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,3.2,234
22 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,234
23 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,234
24 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,15.2,249.2
25 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,249.2
26 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,13.0,262.2
27 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,262.2
28 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,262.2
29 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,262.2
30 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,262.2
31 August 2017,West Champaran,203,10,1,Bihar,10,Bhitaha,0.0,262.2
1 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,,0
2 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,8.6,8.6
3 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,2.2,10.8
4 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,26.6,37.400000000000006
5 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,37.400000000000006
6 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,11.4,48.800000000000004
7 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,18.8,67.60000000000001
8 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,9.2,76.80000000000001
9 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,3.4,80.20000000000002
10 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,6.0,86.20000000000002
11 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,20.8,107.00000000000001
12 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,140.2,247.2
13 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,130.2,377.4
14 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,147.8,525.2
15 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,525.2
16 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,,525.2
17 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,,525.2
18 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,,525.2
19 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,525.2
20 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,525.2
21 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,525.2
22 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,525.2
23 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,525.2
24 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,525.2
25 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,525.2
26 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,2.4,527.6
27 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,527.6
28 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,8.6,536.2
29 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,3.6,539.8000000000001
30 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,539.8000000000001
31 August 2017,Araria,209,10,7,Bihar,100,Narpatganj,0.0,539.8000000000001
1 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,,0
2 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,0
3 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,3.2,3.2
4 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,71.2,74.4
5 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,74.4
6 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,5.2,79.60000000000001
7 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,15.6,95.2
8 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,32.2,127.4
9 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,2.6,130
10 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,130
11 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,23.6,153.6
12 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,45.6,199.2
13 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,180.6,379.79999999999995
14 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,218.6,598.4
15 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,598.4
16 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,,598.4
17 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,,598.4
18 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,,598.4
19 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,598.4
20 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,598.4
21 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,598.4
22 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,598.4
23 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,598.4
24 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,2.2,600.6
25 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,600.6
26 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,36.4,637
27 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,637
28 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,8.4,645.4
29 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,7.2,652.6
30 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,652.6
31 August 2017,Araria,209,10,7,Bihar,101,Forbesganj,0.0,652.6
1 August 2017,Araria,209,10,7,Bihar,102,Bhargama,,0
2 August 2017,Araria,209,10,7,Bihar,102,Bhargama,61.0,61
3 August 2017,Araria,209,10,7,Bihar,102,Bhargama,6.4,67.4
4 August 2017,Araria,209,10,7,Bihar,102,Bhargama,61.3,128.7
5 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,128.7
6 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,128.7
7 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,128.7
8 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,128.7
9 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,128.7
10 August 2017,Araria,209,10,7,Bihar,102,Bhargama,30.0,158.7
11 August 2017,Araria,209,10,7,Bihar,102,Bhargama,27.0,185.7
12 August 2017,Araria,209,10,7,Bihar,102,Bhargama,34.0,219.7
13 August 2017,Araria,209,10,7,Bihar,102,Bhargama,45.0,264.7
14 August 2017,Araria,209,10,7,Bihar,102,Bhargama,103.0,367.7
15 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,367.7
16 August 2017,Araria,209,10,7,Bihar,102,Bhargama,,367.7
17 August 2017,Araria,209,10,7,Bihar,102,Bhargama,,367.7
18 August 2017,Araria,209,10,7,Bihar,102,Bhargama,,367.7
19 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,367.7
20 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,367.7
21 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,367.7
22 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,367.7
23 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,367.7
24 August 2017,Araria,209,10,7,Bihar,102,Bhargama,0.0,367.7
